Date,Price,Float
2021-1-1,166.7380952380950,44197.00 
2021-2-1,162.3250000000000,44228.00 
2021-3-1,166.7391304347830,44256.00 
2021-4-1,178.2500000000000,44287.00 
2021-5-1,202.8571428571430,44317.00 
2021-6-1,215.8157894736840,44348.00 
2021-7-1,214.3409090909090,44378.00 
2021-8-1,162.0909090909090,44409.00 
2021-9-1,113.7187500000000,44440.00 
2021-10-1,114.4761904761900,44470.00 
2021-11-1,90.1315789473684,44501.00 
